chr	start	end	length_bp	GC_count
Chr3	20900001	21000000	100000	36997
Chr3	21000001	21100000	100000	36776
Chr3	21100001	21200000	100000	36546
Chr3	21200001	21300000	100000	36678
Chr3	21300001	21400000	100000	36438
Chr3	21400001	21500000	100000	36918
Chr3	21500001	21600000	100000	35066
Chr3	21600001	21700000	100000	37073
Chr3	21700001	21800000	100000	37880
Chr3	21800001	21900000	100000	36857
Chr3	21900001	22000000	100000	36805
Chr3	22000001	22100000	100000	36362
Chr3	22100001	22200000	100000	36279
Chr3	22200001	22300000	100000	37076
Chr3	22300001	22400000	100000	36789
Chr3	22400001	22500000	100000	37126
Chr3	22500001	22600000	100000	38764
Chr3	22600001	22700000	100000	35918
Chr3	22700001	22800000	100000	36744
Chr3	22800001	22900000	100000	37472
Chr3	22900001	23000000	100000	34860
Chr3	23000001	23100000	100000	37974
Chr3	23100001	23200000	100000	37427
Chr3	23200001	23300000	100000	37709
Chr3	23300001	23400000	100000	39209
Chr3	23400001	23459830	59830	25296
Chr4	1	100000	100000	36895
