"COOR1" "COOR2" "COOR1.5" "ProteinCodingGenesPCG" "GC_PROPORTION" "GC_State" "GC_PosteriorMean" "PCG_State" "PCG_PosteriorMean"
900001 910000 905000 0 0.4603 4 0.467708558471649 1 0.658530404820345
910001 920000 915000 1 0.4844 4 0.466708656571578 1 0.582118020732183
920001 930000 925000 0 0.4336 3 0.456196398077047 1 0.46990342971732
930001 940000 935000 0 0.4622 3 0.456480668739615 1 0.449941767581929
940001 950000 945000 1 0.4445 3 0.455497434764944 1 0.467628229516942
950001 960000 955000 0 0.4974 4 0.459105776404332 1 0.4382223401347
960001 970000 965000 0 0.4527 3 0.447883642692791 1 0.432598732092256
970001 980000 975000 0 0.4208 3 0.436456709145421 1 0.432255305646916
980001 990000 985000 0 0.42 3 0.431806752150125 1 0.432727517009259
990001 1e+06 995000 0 0.436 3 0.429629815156446 1 0.434444649235959
1000001 1010000 1005000 0 0.3713 2 0.42615339608057 1 0.447408997547546
1010001 1020000 1015000 0 0.4733 3 0.445524448074433 1 0.501541590994272
1020001 1030000 1025000 2 0.4428 3 0.447525254617317 1 0.732667588708129
1030001 1040000 1035000 1 0.4746 3 0.452935848402901 1 0.675014874196667
1040001 1050000 1045000 0 0.4601 3 0.453193312995215 1 0.582761945317195
1050001 1060000 1055000 1 0.445 3 0.45302617577583 1 0.639727806937977
1060001 1070000 1065000 0 0.4625 3 0.456089402778717 1 0.666686782897171
1070001 1080000 1075000 1 0.4531 3 0.458013857440523 1 0.9611320314706
1080001 1090000 1085000 2 0.4814 4 0.46264383797781 1 1.25939789924844
1090001 1100000 1095000 0 0.4306 4 0.460817930160288 1 1.21968921650599
1100001 1110000 1105000 1 0.4901 4 0.470295261213138 2 1.54701754722073
1110001 1120000 1115000 2 0.4697 4 0.470751738167519 2 1.91323892287023
1120001 1130000 1125000 1 0.4443 4 0.470382209204449 2 1.99291385818913
1130001 1140000 1135000 3 0.5143 4 0.4745122387917 2 2.12586282084139
1140001 1150000 1145000 2 0.4542 4 0.47368623287425 2 2.12895365884946
1150001 1160000 1155000 4 0.4952 4 0.474773082765631 2 2.13766810489996
1160001 1170000 1165000 4 0.5339 4 0.474729608769976 2 2.1378827464283
1170001 1180000 1175000 3 0.4646 4 0.469230148319584 2 2.13595097267326
1180001 1190000 1185000 3 0.476 4 0.46299500932467 2 2.13573633114492
1190001 1200000 1195000 3 0.435 3 0.446003893752072 2 2.13071371938182
1200001 1210000 1205000 3 0.433 3 0.440438132753469 2 2.06541976646155
1210001 1220000 1215000 0 0.4324 3 0.435804828193281 1 1.01526462491733
1220001 1230000 1225000 1 0.3856 3 0.43007064241846 1 0.794484348869339
1230001 1240000 1235000 0 0.4417 3 0.438101835536675 1 0.561083150955104
1240001 1250000 1245000 1 0.4629 3 0.442135624069508 1 0.53223532954654
1250001 1260000 1255000 0 0.4389 3 0.44077509962579 1 0.460888485527143
1260001 1270000 1265000 0 0.4253 3 0.438644787026696 1 0.449941767581929
1270001 1280000 1275000 1 0.4277 3 0.438014872055072 1 0.46870143715863
1280001 1290000 1285000 0 0.4552 3 0.438730045327197 1 0.442815668841123
1290001 1300000 1295000 0 0.4278 3 0.433437327291581 1 0.443502521731803
1300001 1310000 1305000 0 0.4256 3 0.429078613214486 1 0.468143369184952
1310001 1320000 1315000 0 0.4133 2 0.425782208407274 1 0.575678774882056
1320001 1330000 1325000 1 0.4143 2 0.42509574438861 1 1.05763486261116
1330001 1340000 1335000 1 0.4331 3 0.427800654637718 2 1.55607541971658
1340001 1350000 1345000 3 0.4097 3 0.429441154431631 2 2.09813113538019
1350001 1360000 1355000 5 0.4448 3 0.437219738537562 2 2.13487776503157
1360001 1370000 1365000 2 0.4369 3 0.43941819903667 2 1.84863182284064
1370001 1380000 1375000 0 0.4366 3 0.440875336160883 1 0.775209539624628
1380001 1390000 1385000 0 0.4447 3 0.44271845668117 1 0.521674966352333
1390001 1400000 1395000 0 0.4607 3 0.443515737854867 1 0.47385283383873
1400001 1410000 1405000 1 0.429 3 0.441672388351892 1 0.487890389792005
1410001 1420000 1415000 0 0.4487 3 0.441735680671877 1 0.460759700610141
1420001 1430000 1425000 1 0.4204 3 0.439969598980737 1 0.481150645802206
1430001 1440000 1435000 0 0.4396 3 0.440066456134212 1 0.458226930575758
1440001 1450000 1445000 1 0.435 3 0.439812599906205 1 0.474110403672735
1450001 1460000 1455000 0 0.4407 3 0.4387800491034 1 0.447537782464549
1460001 1470000 1465000 0 0.4306 3 0.436263784088815 1 0.457239579545405
1470001 1480000 1475000 0 0.4323 3 0.434162196233473 1 0.526354151670091
1480001 1490000 1485000 0 0.4118 3 0.431008223760705 1 0.825392728949944
1490001 1500000 1495000 5 0.4532 3 0.43143935535295 2 2.12341590741835
1500001 1510000 1505000 1 0.4295 2 0.425212435356707 2 2.07400542759505
1510001 1520000 1515000 2 0.41 2 0.418511352247649 2 2.07821240155046
1520001 1530000 1525000 3 0.4215 2 0.416306148475596 2 2.01193109759983
1530001 1540000 1535000 0 0.3966 2 0.414385197117741 1 0.797360545349062
1540001 1550000 1545000 0 0.415 2 0.414341936614483 1 0.517124565951577
1550001 1560000 1555000 0 0.3977 2 0.414506532931548 1 0.45406288492601
1560001 1570000 1565000 0 0.4147 2 0.416124033021619 1 0.446979714490871
1570001 1580000 1575000 0 0.4207 2 0.418949227112839 1 0.465481814233566
1580001 1590000 1585000 1 0.4136 2 0.422838618166857 1 0.560997294343769
1590001 1600000 1595000 0 0.4273 3 0.433133696270061 1 0.622170129919966
1600001 1610000 1605000 2 0.4829 3 0.445531206837669 1 0.978303353737603
1610001 1620000 1615000 2 0.4718 3 0.444432987076002 1 0.963063805225638
1620001 1630000 1625000 0 0.4256 3 0.428876465943782 1 0.556232252414676
1630001 1640000 1635000 0 0.3963 2 0.41540402963389 1 0.459944062802458
1640001 1650000 1645000 0 0.3956 2 0.413170767059703 1 0.438308196746035
1650001 1660000 1655000 0 0.3812 2 0.412839460508047 1 0.435174430432307
1660001 1670000 1665000 0 0.4117 2 0.413955767948517 1 0.44303031036946
1670001 1680000 1675000 0 0.4342 2 0.416038363226614 1 0.475741679288101
1680001 1690000 1685000 0 0.3798 2 0.415857723971049 1 0.62745031151707
1690001 1700000 1695000 1 0.4475 2 0.426933551363489 1 1.25544849512703
1700001 1710000 1705000 2 0.4018 3 0.429656834719098 2 1.91336770778724
1710001 1720000 1715000 2 0.4922 3 0.446259897636266 2 2.08108859803019
1720001 1730000 1725000 3 0.452 3 0.443688631094746 2 2.13071371938182
1730001 1740000 1735000 2 0.4255 3 0.439335072902064 2 2.11955235990827
1740001 1750000 1745000 1 0.4343 3 0.437771153971919 2 2.09079039511104
1750001 1760000 1755000 4 0.4488 3 0.435470553754511 2 2.1158175973152
1760001 1770000 1765000 0 0.4208 2 0.425306126620962 2 1.55727741227527
1770001 1780000 1775000 0 0.4112 2 0.419064655374921 2 1.50606394361393
1780001 1790000 1785000 2 0.4249 2 0.417063728281389 2 1.83266249313232
1790001 1800000 1795000 3 0.3963 2 0.414488599542055 2 1.87310095707112
1800001 1810000 1805000 0 0.391 2 0.41457512054857 1 1.09652790754592
1810001 1820000 1815000 0 0.413 2 0.417109516954754 1 0.963879443033321
1820001 1830000 1825000 2 0.446 2 0.423276493032047 1 1.12142632483307
1830001 1840000 1835000 1 0.4141 2 0.42383781762857 1 0.964308726089996
1840001 1850000 1845000 1 0.4263 2 0.426951695487301 1 0.800065028606115
1850001 1860000 1855000 0 0.4355 3 0.430560424243058 1 0.618564152243896
1860001 1870000 1865000 1 0.4437 3 0.432591961015179 1 0.62916744374377
1870001 1880000 1875000 1 0.4304 3 0.430475165942557 1 0.609892634499059
1880001 1890000 1885000 1 0.4445 3 0.428599167536847 1 0.559881158396414
1890001 1900000 1895000 0 0.4121 2 0.420700101586699 1 0.47110542227601
1900001 1910000 1905000 0 0.4013 2 0.41773436285395 1 0.455651232235707
1910001 1920000 1915000 0 0.4137 2 0.418519373716899 1 0.480807219356866
1920001 1930000 1925000 1 0.3976 2 0.421219855370772 1 0.607789147521351
1930001 1940000 1935000 0 0.457 3 0.441048687366141 1 0.702961201186214
1940001 1950000 1945000 2 0.4485 3 0.446791723728983 1 1.21857308055864
1950001 1960000 1955000 1 0.4826 3 0.453323734982181 1 1.27747071593446
1960001 1970000 1965000 0 0.4483 3 0.452260311779435 2 1.34607014839113
1970001 1980000 1975000 2 0.4712 3 0.453126412310923 2 1.96410896508623
1980001 1990000 1985000 4 0.4697 3 0.449904496542695 2 2.12822387765311
1990001 2e+06 1995000 1 0.4192 3 0.440912509358681 2 2.08267694533988
2000001 2010000 2005000 3 0.4219 3 0.439492071976596 2 2.09164896122439
2010001 2020000 2015000 0 0.4128 3 0.440108698404436 2 1.77449463895285
2020001 2030000 2025000 1 0.4737 3 0.449404545592659 2 1.8093094948492
2030001 2040000 2035000 2 0.4486 3 0.4501769393696 2 1.88739608285839
2040001 2050000 2045000 2 0.4695 3 0.45316650692496 2 1.77968896393862
2050001 2060000 2055000 1 0.4699 3 0.452582987365232 1 1.27485208928874
2060001 2070000 2065000 0 0.4557 3 0.448423230291486 1 0.796115624484704
2070001 2080000 2075000 1 0.4443 3 0.443007022656112 1 0.725970773023998
2080001 2090000 2085000 1 0.4344 3 0.436331585213572 1 0.631871927000823
2090001 2100000 2095000 0 0.4328 2 0.427854266778228 1 0.508152550067068
2100001 2110000 2105000 0 0.3562 2 0.416859464335081 1 0.503559221360645
2110001 2120000 2115000 0 0.4337 2 0.42367681418552 1 0.600362550640873
2120001 2130000 2125000 1 0.4122 3 0.428153073200301 1 1.05132440167803
2130001 2140000 2135000 1 0.4429 3 0.440375298398862 2 1.51808386920083
2140001 2150000 2145000 3 0.4734 3 0.448018446804117 2 2.02377930996406
2150001 2160000 2155000 3 0.4673 3 0.447812675678815 2 1.99806525486923
2160001 2170000 2165000 0 0.4473 3 0.444995543397956 1 1.13400431839365
2170001 2180000 2175000 0 0.4141 3 0.443021542925326 1 0.97491201758987
2180001 2190000 2185000 0 0.4715 3 0.445764557793279 1 1.10683070090612
2190001 2200000 2195000 2 0.4413 3 0.444696065518107 2 1.88048462564593
2200001 2210000 2205000 2 0.4367 3 0.444483764612257 2 2.08117445464152
2210001 2220000 2215000 7 0.4783 3 0.446849489011163 2 2.1382691011793
2220001 2230000 2225000 3 0.4287 3 0.443310653677632 2 2.1365519689526
2230001 2240000 2235000 4 0.4649 3 0.443738634870949 2 2.13672368217527
2240001 2250000 2245000 1 0.4283 3 0.436364692081684 2 2.10959299299341
2250001 2260000 2255000 4 0.4278 3 0.430411873622572 2 2.13689539539794
2260001 2270000 2265000 3 0.4234 2 0.425929496321747 2 2.12830973426444
2270001 2280000 2275000 0 0.4134 2 0.422113749224965 2 2.01772641886495
2280001 2290000 2285000 4 0.4389 2 0.420861956241259 2 2.12779459459643
2290001 2300000 2295000 1 0.3779 2 0.416273023359113 2 2.02867313681016
2300001 2310000 2305000 3 0.4297 2 0.419059174807991 2 1.9879341747317
2310001 2320000 2315000 0 0.4211 2 0.420938979580114 1 0.888883693032186
2320001 2330000 2325000 0 0.4305 2 0.424190236191152 1 0.64586655464843
2330001 2340000 2335000 0 0.4154 2 0.426509178534479 1 0.630154794774123
2340001 2350000 2345000 1 0.4279 3 0.432605249558962 1 0.818953483099818
2350001 2360000 2355000 0 0.4432 3 0.438932437070882 1 0.993628758860903
2360001 2370000 2365000 2 0.4427 3 0.442530040429335 2 1.89190355495348
2370001 2380000 2375000 4 0.4743 3 0.445547187815002 2 2.13268842144253
2380001 2390000 2385000 3 0.4472 3 0.44329859685928 2 2.13157228549517
2390001 2400000 2395000 1 0.4198 3 0.439869591428332 2 2.07619477118409
2400001 2410000 2405000 1 0.4276 3 0.439593769219809 2 2.07567963151608
2410001 2420000 2415000 4 0.4311 3 0.440218615119005 2 2.1244032584487
2420001 2430000 2425000 2 0.442 3 0.440950456316531 2 1.84764447181028
2430001 2440000 2435000 0 0.4232 3 0.440848530090629 1 0.801653375915812
2440001 2450000 2445000 0 0.4439 3 0.442355915464025 1 0.563186637932812
2450001 2460000 2455000 1 0.4645 3 0.443696392600724 1 0.531205050210519
2460001 2470000 2465000 0 0.4333 3 0.440235512027095 1 0.461103127055481
2470001 2480000 2475000 0 0.4022 3 0.437157906925697 1 0.450843262000947
2480001 2490000 2485000 0 0.4572 3 0.44079053582576 1 0.475827535899436
2490001 2500000 2495000 2 0.4604 3 0.440302870676765 1 0.603281675426263
2500001 2510000 2505000 0 0.4117 3 0.431698067160987 1 0.503387508137975
2510001 2520000 2515000 1 0.422 3 0.429724982619113 1 0.508968187874751
2520001 2530000 2525000 0 0.4328 3 0.42976507723315 1 0.470976637359007
2530001 2540000 2535000 0 0.4219 3 0.428221221100316 1 0.493041786472106
2540001 2550000 2545000 0 0.4138 3 0.428361979234241 1 0.637152108597926
2550001 2560000 2555000 1 0.4371 3 0.431517854890216 1 1.27579651201343
2560001 2570000 2565000 2 0.4076 3 0.432710357164376 2 1.95217489611066
2570001 2580000 2575000 5 0.4609 3 0.442834358398922 2 2.1331177044992
2580001 2590000 2585000 2 0.4662 3 0.444500432537658 2 2.02176167959769
2590001 2600000 2595000 1 0.4294 3 0.442091692108475 2 1.61244028505801
2600001 2610000 2605000 0 0.4333 3 0.441650422371376 1 1.2488804643599
2610001 2620000 2615000 1 0.4373 3 0.441732301290259 1 1.27639750829277
2620001 2630000 2625000 1 0.4419 3 0.441575302215728 2 1.31395977575184
2630001 2640000 2635000 0 0.4306 3 0.441008908546778 2 1.37041049770461
2640001 2650000 2645000 2 0.4407 3 0.440609652097214 2 1.93393036620197
2650001 2660000 2655000 4 0.4353 3 0.43913268115838 2 2.08224766228321
2660001 2670000 2665000 1 0.4123 3 0.437355000614265 2 1.62866718460033
2670001 2680000 2675000 1 0.4387 3 0.439003948862223 1 1.21629788035826
2680001 2690000 2685000 0 0.4224 3 0.439672268757075 1 0.830329484101707
2690001 2700000 2695000 1 0.4479 3 0.441652341044873 1 0.800365526745787
2700001 2710000 2705000 1 0.4328 3 0.442056666566865 1 0.746361718216064
2710001 2720000 2715000 0 0.4583 3 0.442750331823851 1 0.671408896520597
2720001 2730000 2725000 0 0.4067 3 0.440268847877897 1 0.798905964353092
2730001 2740000 2735000 1 0.4354 3 0.443954315158416 2 1.4396538547463
2740001 2750000 2745000 4 0.4971 3 0.452561250367404 2 2.12676431526041
2750001 2760000 2755000 3 0.4464 3 0.447302815566614 2 2.13599390097893
2760001 2770000 2765000 6 0.4877 3 0.444024366241637 2 2.13818324456797
2770001 2780000 2775000 2 0.368 2 0.415498562135522 2 2.04309704751444
2780001 2790000 2785000 1 0.3516 2 0.413551879385455 2 1.69095615612388
2790001 2800000 2795000 0 0.409 2 0.41866055607754 2 1.3952659866861
2800001 2810000 2805000 0 0.4386 3 0.434760907520191 2 1.46240585675008
2810001 2820000 2815000 3 0.4959 3 0.445873929730484 2 2.08138909616986
2820001 2830000 2825000 2 0.4231 3 0.43884717877038 2 2.11693373326255
2830001 2840000 2835000 2 0.4254 3 0.436832080940971 2 2.12693602848308
2840001 2850000 2845000 5 0.4456 3 0.43605530503967 2 2.1378827464283
2850001 2860000 2855000 2 0.4102 3 0.431881643323084 2 2.12448911506003
2860001 2870000 2865000 1 0.4192 3 0.432008899420829 2 2.10482795106432
2870001 2880000 2875000 6 0.4676 3 0.434989876351441 2 2.1364231840356
2880001 2890000 2885000 1 0.4219 2 0.426779718178178 2 1.37191298840297
2890001 2900000 2895000 0 0.4219 2 0.420955860997912 1 0.652477513721226
2900001 2910000 2905000 0 0.4108 2 0.417054444106125 1 0.486559612316312
2910001 2920000 2915000 0 0.4032 2 0.415981387194779 1 0.452259896087974
2920001 2930000 2925000 0 0.405 2 0.416758590080874 1 0.454191669843012
2930001 2940000 2935000 0 0.403 2 0.42049498642888 1 0.503859719500318
2940001 2950000 2945000 1 0.467 3 0.438875674531444 1 0.724253640797297
2950001 2960000 2955000 0 0.4329 3 0.44040264924648 1 0.924471258430549
2960001 2970000 2965000 2 0.407 3 0.441652570027562 2 1.87941141800424
2970001 2980000 2975000 5 0.4731 4 0.462774259964776 2 2.13646611234127
2980001 2990000 2985000 2 0.5074 4 0.473077596935076 2 2.12092606568963
2990001 3e+06 2995000 2 0.4788 4 0.472360276006764 2 2.08933083271835
3000001 3010000 3005000 0 0.4328 4 0.468969304345652 2 1.97282341113673
3010001 3020000 3015000 2 0.4762 4 0.473012385941593 2 2.09697207112716
3020001 3030000 3025000 5 0.4941 4 0.474555712787355 2 2.13783981812263
3030001 3040000 3035000 5 0.4896 4 0.47459918678301 2 2.13758224828862
3040001 3050000 3045000 2 0.4633 4 0.473881865854698 2 2.00218637221331
3050001 3060000 3055000 1 0.4964 4 0.474186183824285 2 1.49992519590348
3060001 3070000 3065000 1 0.518 4 0.471229952119727 1 1.0410645366235
3070001 3080000 3075000 0 0.3986 3 0.440098102294204 1 0.596026791768455
3080001 3090000 3085000 0 0.4172 2 0.42640218323615 1 0.500511311658252
3090001 3100000 3095000 0 0.4123 2 0.418247571367186 1 0.508324263289738
3100001 3110000 3105000 1 0.3949 2 0.414559291102468 1 0.629725511717448
3110001 3120000 3115000 1 0.3992 2 0.414312391639802 1 0.721162802789237
3120001 3130000 3125000 1 0.4409 2 0.415452135743043 1 0.788216816241883
3130001 3140000 3135000 0 0.3978 2 0.413659276204153 1 0.834536458057123
3140001 3150000 3145000 2 0.4138 2 0.41391777727787 1 1.26296094861884
3150001 3160000 3155000 0 0.4067 2 0.413752543241691 2 1.28214990125222
3160001 3170000 3165000 2 0.4289 2 0.414172484717388 2 1.75929801874655
3170001 3180000 3175000 3 0.4185 2 0.413425464525086 2 1.84575562636091
3180001 3190000 3185000 1 0.3989 2 0.412228977830676 1 1.219818001423
3190001 3200000 3195000 0 0.4065 2 0.411579038258382 1 0.614314249982813
3200001 3210000 3205000 0 0.367 2 0.410720189894069 1 0.47316598094805
3210001 3220000 3215000 0 0.4089 2 0.412011633316826 1 0.44182831781077
3220001 3230000 3225000 0 0.3969 2 0.412915856101922 1 0.433629011428276
3230001 3240000 3235000 0 0.4141 2 0.416180381308475 1 0.432126520729914
3240001 3250000 3245000 0 0.4328 2 0.421293072343214 1 0.440926823391753
3250001 3260000 3255000 0 0.4607 2 0.424247212222988 1 0.465524742539234
3260001 3270000 3265000 0 0.3915 2 0.417727817583112 1 0.566062834412535
3270001 3280000 3275000 2 0.4295 2 0.418202621173119 1 1.01736811189503
3280001 3290000 3285000 0 0.3966 2 0.417931456542519 1 1.04840527689264
3290001 3300000 3295000 2 0.4331 2 0.423526985368728 2 1.50220039610386
3300001 3310000 3305000 0 0.4159 2 0.426948529598081 2 1.5468029056924
3310001 3320000 3315000 3 0.447 3 0.434703915998064 2 2.0936236632851
3320001 3330000 3325000 3 0.4437 3 0.436962731910626 2 2.12908244376646
3330001 3340000 3335000 2 0.4583 3 0.436793905000432 2 2.10525723412099
3340001 3350000 3345000 1 0.41 2 0.426791103538755 2 2.03142054837288
3350001 3360000 3355000 1 0.3944 2 0.42462430468993 2 2.0103856785958
3360001 3370000 3365000 1 0.4543 3 0.430112853708101 2 2.03313768059958
3370001 3380000 3375000 3 0.4548 3 0.428932999500531 2 2.11259797439014
3380001 3390000 3385000 2 0.3951 2 0.416492692524807 2 2.054644761739
3390001 3400000 3395000 1 0.4076 2 0.415226546293411 2 1.83695532369907
3400001 3410000 3405000 0 0.4232 2 0.414668387586109 2 1.6715096336565
3410001 3420000 3415000 3 0.4001 2 0.41382851460885 2 1.8213294204361
3420001 3430000 3425000 0 0.3842 2 0.413705064877518 2 1.34370909157942
3430001 3440000 3435000 0 0.3947 2 0.417041353564448 2 1.3236615728327
3440001 3450000 3445000 1 0.4288 3 0.438057114325297 2 1.70052916828774
3450001 3460000 3455000 4 0.4999 4 0.462217546475302 2 2.13084250429883
3460001 3470000 3465000 4 0.4928 4 0.463103694313808 2 2.13783981812263
3470001 3480000 3475000 3 0.4501 3 0.449628674334171 2 2.13131471566117
3480001 3490000 3485000 1 0.4177 3 0.441687611059464 2 2.05370033901432
3490001 3500000 3495000 1 0.4183 3 0.440944155518673 2 2.02893070664416
3500001 3510000 3505000 1 0.4364 3 0.443547841980238 2 2.05241248984429
3510001 3520000 3515000 3 0.4893 3 0.449606708353655 2 2.12792337951344
3520001 3530000 3525000 4 0.4552 3 0.446157513444985 2 2.12659260203774
3530001 3540000 3535000 1 0.4277 3 0.441585669343271 2 1.61119536419366
3540001 3550000 3545000 1 0.4162 3 0.439929733349388 1 1.13662294503937
3550001 3560000 3555000 0 0.4449 3 0.442075253165763 1 0.693602830550698
3560001 3570000 3565000 0 0.4318 3 0.442838969505971 1 0.613884966926138
3570001 3580000 3575000 2 0.4586 3 0.444881560353701 1 0.702403133212537
3580001 3590000 3585000 0 0.4405 3 0.444451889469576 1 0.524465306220721
3590001 3600000 3595000 0 0.4583 3 0.445520152762059 1 0.503172866609637
3600001 3610000 3605000 1 0.4467 3 0.444691225428369 1 0.577181265580419
3610001 3620000 3615000 0 0.4637 3 0.444482532886826 1 0.61452889151115
